,, Los casos no se pueden repetir. Indique nombre del caso y autores involucrados, Los casos no se pueden repetir. Indique nombre del caso y autores involucrados
,,,
,USO INTERNO,Caso 1 (Libre),Caso 2 (Informática)
GRUPO,"Orden de presentación
(Definido por Profesor)",Título del caso (Autores Involucrados),Título del caso (Autores Involucrados)
,,,
,,,
Grupo 1,3,"Experimento TUSKEGEE, THE TUSKEGEE STUDY OF UNTREATED SYPHILIS; THE 30TH YEAR OF OBSERVATION (DONALD H. ROCKWELL, MD; ANNE ROOF YOBS, MD; M. BRITTAIN MOORE JR., MD)","Retraction Note: Criminal tendency detection from facial images and the gender bias effect (Mahdi Hashemi y Margeret Hall)
"
Grupo 2,2,The Lab-Monkey Controversy That Launched the Animal-Rights Movement (Caroline Fraser),Uso no autorizado de datos de redes sociales / scraping y “Digital Trespass
Grupo 3,4,Escándalo de los monos en Cali,Enforcing Transparent Access to Private Content in Social Networks by Means of Automatic Sanitization
Grupo 4,5, Investigación de ITS en guatemala (https://pmc.ncbi.nlm.nih.gov/articles/PMC3828982/).,Exposing.ai IBM - Uso de fotografías sin consentimiento para base de datos (https://exposing.ai/ibm_dif/).
Grupo 5,1,CONDITIONED EMOTIONAL REACTIONS,Publishers withdraw more than 120 gibberish papers     https://doi.org/10.1038/nature.2014.14763
